generation,highest_score,average_score,lowest_score,total_wins,total_losses,total_draws,highest_defection_rate,average_defection_rate,lowest_defection_rate
68,8807,8535.42,0,8622,8622,2556,0.5169351794065753,0.5163245344366626,0.5157910146468498
69,8848,8542.96,0,8619,8619,2562,0.5167464114832536,0.516156603630288,0.515819852661958
70,8863,8538.27,0,8560,8560,2680,0.5168849353430525,0.5162270967645319,0.5156457083810679
71,8786,8521.39,0,8637,8637,2526,0.5168534762833008,0.5163386053517631,0.5159526552070411
72,8839,8541.63,0,8627,8627,2546,0.5168847814846372,0.5164086430272444,0.5160764093712904
73,8774,8533.11,0,8621,8621,2558,0.5169727143411353,0.5165714398609134,0.5160675029096081
74,8781,8519.83,0,8616,8616,2568,0.5170051391104022,0.5165705475810739,0.5161899698741804
75,8797,8542.62,0,8633,8633,2534,0.5171696186239122,0.5166619099583086,0.5161623156775511
76,8760,8535.83,0,8615,8615,2570,0.5170191318516677,0.5166877593432617,0.5163942915139087
77,8824,8538.74,0,8597,8597,2606,0.5171689908532013,0.5167673700568438,0.5162658978448452
78,8841,8535.41,0,8591,8591,2618,0.5171602769870591,0.5167823471221207,0.5161945908115129
79,8821,8531.71,0,8658,8658,2484,0.5172514619883041,0.5167662480063793,0.5161217437533226
80,8817,8526.0,0,8568,8568,2664,0.5174158741410203,0.5168564790202218,0.5162344694508437
81,8810,8550.55,0,8634,8634,2532,0.517410951621478,0.5169144590967439,0.5165681202266568
82,8788,8540.84,0,8605,8605,2590,0.5175598726645017,0.5169642525444679,0.5166407255817529
83,8825,8532.07,0,8642,8642,2516,0.5177622085516822,0.517087415508468,0.5166641350851877
84,8972,8525.57,0,8618,8618,2564,0.5177440035025175,0.5171510773368361,0.5167432842355443
85,8828,8533.72,0,8636,8636,2528,0.5175902229145803,0.5171758589567647,0.5167464114832536
86,8854,8538.54,0,8613,8613,2574,0.517779122134839,0.5172481010956509,0.5168289061211021
87,8798,8528.57,0,8666,8666,2468,0.5178519646222995,0.517364131748103,0.516855154414963
